ruleId,title,shortDescription,grade,gradePoints,type,ruleSpecificationUrl
websiteExistence,Existencia de sitio Web,"La entidade deberá mantener um sítio web, que deberá estar disponible para acesso via una URI oficial por cualquier user-agent.",AAA,100,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#511-disponibilidad
freeAccess,Régimen de Acceso - Gratuidad,"El sítio debe tener aceso gratuidad a los servicios judiciales informáticos que presta la Corte, exceto para casos previstos en ley e reglamentos.",AAA,100,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#521-gratuidad
universalityDirectAccess,Universalidad: Acceso Directo,Los servicios informáticos que presta la Corte deben ser abiertos a todo el público que desee acceder a ellos y no deben estar restringidos a ciertos usuarios previo registro y recepción de una clave de acceso.,AAA,100,recommendation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#522---universalidad-acceso-directo
universalidadPatronesDeAcessibilidadeYWebStandards,Universalidad: Patrones de Acesibilidad y Web Standards,"Los sitios deben permitir acesso tecnologias asistivas como lectores de tela, asistentes por voz, etc;aceso sin uso de javascript, dispositivos variados y en condiciones variadas de conexiones.",,0,recommendation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#523---universalidad-patrones-de-acesibilidad-y-web-standards
universalityPerformance,Universalidad: Performance,"Los sitios deben permitir acesso con velocidade rasonable y estable mismo em malas condiciones de aceso, como conexión por dispositivos móbiles en reds de baja performance.",,0,recommendation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#524---universalidad-performance
seguridadConexionEncriptada,Seguridad: Conexión Encriptada,El sítio és acessible en conexión encriptada (SSL/TLS).,,0,recommendation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#525---seguridad-conexi%C3%B3n-encriptada
dadosAbiertosAcesoViaApiRest,Dados Abiertos: Acceso vía API REST,"Los contenidos del sitio son acesibles por una API REST con datos estructurados, incluso meta-dados.",,0,recommendation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#526---dados-abiertos-acceso-v%C3%ADa-api-rest
estructuraOrganica,Estructura orgánica,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#61-estructura-org%C3%A1nica
funcionesYDeberes,Funciones y deberes,Descripción de funciones y deberes de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#62-funciones-y-deberes
ubicacionDeSusSedesYAreas,Ubicación de sus sedes y áreas,Descripción de ubicación de sedes y áreas de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#63-ubicaci%C3%B3n-de-sus-sedes-y-%C3%A1reas
divisionesODepartamentos,Divisiones o departamentos,Informaciones sobre la totalidad de divisiones territoriales.,AA,50,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#64-divisiones-o-departamentos
horarioDeAtencionAlPublico,Horario de Atención al Público,"Informaciones sobre horarios de atención al público de la entidad y sus divisiones en diferentes medios: en la sede, teléfono, correo electrónico, etc.",AA,50,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#65-horario-de-atenci%C3%B3n-al-p%C3%BAblico
presupuesto,Presupuesto,"El presupuesto de la entidad para la respectiva vigencia debe estar disponible para verificación del público. Puede ser el presupuesto inicial o final. Eo presupuesto debe ofrecer datos (valores, ingresos, gastos) de forma clara, organizada y desagregado.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#66-presupuesto
ejecucionHistoricaAnual,Ejecución Histórica Anual,"Información relativa al presupuesto ejecutado en el año en curso, idealmente con porcentajes de ejecución, y deben ofrecer datos de forma clara, organizada y encontrarse desagregados.",,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#66-ejecuci%C3%B3n-hist%C3%B3rica-anual
planesDeGastoPublicoPorAnoFiscal,Planes de gasto público por año fiscal,Afazer,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#67-planes-de-gasto-p%C3%BAblico-por-a%C3%B1o-fiscal
directorioDeFuncionariosBasico,Directorio de funcionarios - Básico,El sitio web contiene un directorio de funcionarios con sus informaciones básicas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia.,A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#68-directorio-de-funcionarios---b%C3%A1sico
directorioDeFuncionariosCompleto,Directorio de funcionarios - Completo,El sitio web contiene un directorio de funcionarios con informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas.,,0,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#69-directorio-de-funcionarios---completo
escalasSalariales,Escalas salariales,"Es posible encontrar una tabla con los rangos de salarios de la entidad, identificado por el título ""Rangos de salario por nivel"", y el decreto de asignaciones salariales de la entidad en un lugar visible.",A,20,obligation,https://github.com/Dejusticia/mota-active-transparency-specification/blob/master/mota-active-transparency-specification.md#610-escalas-salariales
