ruleId,title,shortDescription,grade,gradePoints,type
websiteExistence,Existencia de sitio Web,"La entidade deberá mantener um sítio web, que deberá estar disponible para acesso via una URI oficial por cualquier user-agent.",AAA,100,obligation
freeAccess,Régimen de Acceso - Gratuidad,"El sítio debe tener aceso gratuidad a los servicios judiciales informáticos que presta la Corte, exceto para casos previstos en ley e reglamentos.",AAA,100,obligation
universalityDirectAccess,Universalidad: Acceso Directo,Los servicios informáticos que presta la Corte deben ser abiertos a todo el público que desee acceder a ellos y no deben estar restringidos a ciertos usuarios previo registro y recepción de una clave de acceso.,AAA,100,recommendation
universalidadPatronesDeAcessibilidadeYWebStandards,Universalidad: Patrones de Acesibilidad y Web Standards,"Los sitios deben permitir acesso tecnologias asistivas como lectores de tela, asistentes por voz, etc;aceso sin uso de javascript, dispositivos variados y en condiciones variadas de conexiones.",,0,recommendation
universalityPerformance,Universalidad: Performance,"Los sitios deben permitir acesso con velocidade rasonable y estable mismo em malas condiciones de aceso, como conexión por dispositivos móbiles en reds de baja performance.",,0,recommendation
seguridadConexionEncriptada,Seguridad: Conexión Encriptada,El sítio és acessible en conexión encriptada (SSL/TLS).,,0,recommendation
dadosAbiertosAcesoViaApiRest,Dados Abiertos: Acceso vía API REST,"Los contenidos del sitio son acesibles por una API REST con datos estructurados, incluso meta-dados.",,0,recommendation
estructuraOrganica,Estructura orgánica,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,A,20,obligation
funcionesYDeberes,Funciones y deberes,Descripción de funciones y deberes de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,20,obligation
ubicacionDeSusSedesYAreas,Ubicación de sus sedes y áreas,Descripción de ubicación de sedes y áreas de la entidad en general y no tan sólo la cabeza o principal órgano que lo compone.,A,20,obligation
divisionesODepartamentos,Divisiones o departamentos,Informaciones sobre la totalidad de divisiones territoriales.,AA,50,obligation
horarioDeAtencionAlPublico,Horario de Atención al Público,"Informaciones sobre horarios de atención al público de la entidad y sus divisiones en diferentes medios: en la sede, teléfono, correo electrónico, etc.",AA,50,obligation
presupuesto,Presupuesto,"El presupuesto de la entidad para la respectiva vigencia debe estar disponible para verificación del público. Puede ser el presupuesto inicial o final. Eo presupuesto debe ofrecer datos (valores, ingresos, gastos) de forma clara, organizada y desagregado.",A,20,obligation
ejecucionHistoricaAnual,Ejecución Histórica Anual,"Información relativa al presupuesto ejecutado en el año en curso, idealmente con porcentajes de ejecución, y deben ofrecer datos de forma clara, organizada y encontrarse desagregados.",,0,obligation
planesDeGastoPublicoPorAnoFiscal,Planes de gasto público por año fiscal,Afazer,A,20,obligation
directorioDeFuncionariosBasico,Directorio de funcionarios - Básico,El sitio web contiene un directorio de funcionarios con sus informaciones básicas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia.,,0,obligation
directorioDeFuncionariosCompleto,Directorio de funcionarios - Completo,El sitio web contiene un directorio de funcionarios con informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas.,,0,obligation
escalasSalariales,Escalas salariales,"Es posible encontrar una tabla con los rangos de salarios de la entidad, identificado por el título ""Rangos de salario por nivel"", y el decreto de asignaciones salariales de la entidad en un lugar visible.",A,20,obligation
sancionesAplicadasAServidoresPublicos,Sanciones aplicadas a servidores públicos,Es posible encontrar informaciones sobre sanciones disciplinarias o de otro tipo que hayan sido impuestas  a funcionarios de la entidad.,,0,obligation
directorioConInformacionesDeContratosConContratistasBasico,Directorio con Informaciones de Contratos de Contratistas - Básico,Es posible encontrar informaciones sobre los contratos de contratistas en formatos abiertos: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Objeto del contrato.,,0,obligation
directorioConInformacionesDeContratosConContratistasCompleto,Directorio con Informaciones de Contratos de Contratistas - Completo,El sitio web contiene contiene un directorio de funcionarios de informaciones completas: Nombres y apellidos; correo electrónico; Teléfono del despacho y dependencia; Formación académica; Experiencia laboral y profesional; Sanciones aplicadas;Objeto del contrato.,,0,obligation
normasGenerales,Normas generales,"Existencia de una sección con normas y reglamentos pertinentes para la entidad: decretos, circulares, leyes, etc. relativas a creacción e reglamentos de la entidad.",A,20,obligation
normasReglamentarias,Normas Reglamentarias,Existencia de información sobrenormas reglamentarias pertinentes a la entidad: resoluciones y directivas.,A,20,obligation
manuales,Manuales,AFAZER,,0,obligation
metasYObjectivos,Metas y Objetivos,AFAZER,,0,obligation
resultadoDeAuditorias,Resultado de Auditorías,AFAZER,,0,obligation
indicadoresDeDesempeno,Indicadores de Desempeño,Las entidades deben proveer información sobre los indicadores de desempeño que utilizan y reportes con estadísticas y análisis del desempeño de la entidad (en relación a _________) y de sus funcionarios.,,0,obligation
planAnticorrupcionYDeAtencionAlCiudadano,Plan Anticorrupción y de Atención al Ciudadano,AFAZER,,0,obligation
planDeComprasYAdquisicion,Plan anual de compras y adquisiciones,"La entidad debe ofrecer informaciones de su Plan de Compras Anual. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",,0,obligation
atencionAlCiudadano,Atención al ciudadano,"El sitio de la entidad debe contener una o más páginas con información de los servicios que brinda directamente al público, incluyendo i) normas ii) formularios y formatos y, iii) protocolos de atención a diferentes públicos.",,0,obligation
tramites,Trámites,"El sitio de la entidad debe contener una o más páginas con informaciones de los trámites que se pueden agotar en la entidad, incluyendo i) normativa(s) relacionada(s) ii) proceso a seguir, incluso formularios y formatos y, iii) costos asociados.",A,20,obligation
procedimientos,Procedimientos,El sitio de la entidad debe contener una o más páginas con informaciones sobre los procedimientos que se siguen para tomar decisiones en diferentes áreas y procesos.,A,20,obligation
decisiones,Decisiones,"El sitio de la entidad debe contener una o más páginas con los contenidos de las decisiones adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",A,20,obligation
politicas,Políticas,"El sitio de la entidad debe contener una o más páginas con los contenidos de las políticas adoptadas que afecten al público, junto con sus fundamentos e interpretaciones.",,0,obligation
participacionCiudadanaMecanismosDePresentacionDirecta,Participación Ciudadana - Mecanismos de Presentación Directa,"El sitio de la entidad debe ofrecer mecanismos de presentación directa de solicitudes, quejas y reclamos a disposición del público.",,0,obligation
reporteDeParticipacionCiudadana,Reporte de Participación Ciudadana,"El sitio de la entidad debe contener una o más páginas con reportes generales y agregados de datos de quejas y reclamos de la entidad, correspondientes a la respectiva vigencia y a años anteriores.",,0,obligation
mecanismosDeParticipacionCiudadanaEmFormulacionDePoliticas,Mecanismos de Participación Ciudadana en Formulación de Políticas,"Descrición de los mecanismos de participación ciudadana para la formulación de políticas o ejercicios de facultades del sujeto obligado, incluyendo publicidad de invitaciones públicas, convocatorias o procesos de participación pública.",,0,obligation
informesDeGestion,Informes de Gestión,"Informes de Gestión del periodo vigente y de períodos anteriores. Los informes resumen los resultados de la entidad por un período determinado, así como la administración hecha a sus recursos, contratación, entre otros.",A,20,obligation
informesDeEvaluacion,Informes de Evaluación,"El sitio de la entidad debe contener Informes de Evaluación del periodo vigente y de los períodos anteriores. contratación, entre otros.",,0,obligation
informesDeAuditoria,Informes de Auditoría,AFAZER,,0,obligation
mecanismosInternosDeSupervisionOficinaDeControlInterno,Mecanismos Internos de Supervisión - Oficina de Control Interno,"Informaciones acerca de la Oficina de Control Interno, de manera que los funcionarios o la ciudadanía tengan claro que hay una dependencia a la que se puede acudir para presentar denuncias u observaciones acerca del funcionamiento de la entidad.",A,20,obligation
mecanismosExternosDeSupervision,Mecanismos Externos de Supervisión,AFAZER,A,20,obligation
mecanismosNotificacion,Mecanismos Notificación,Descripción de la forma en que se compone y se organiza la entidade y no tan sólo la cabeza o principal órgano que se trate.,,0,obligation
mecanismosDeVigilancia,Mecanismos de Vigilancia,AFAZER,,0,obligation
procedimientosYLineamientosDeContratacion,Procedimientos y Lineamientos de Contratación,AFAZER,A,20,obligation
politicasEnMateriaDeAdquisicionesYCompras,Políticas en materia de adquisiciones y compras,"AFAZER: aclarar. La entidad debe ofrecer informaciones de su Plan de adquisiciones. El documento MOTA - Reglas Contextuales especifica normas necesarias por entidad, o clases de entidad.",A,20,obligation
esquemasDePublicacionDeInformacion,Esquemas de Publicación de información,"El sitio de la entidad debe contener una o más páginas con informaciones de Esquemas de Publicación de información, publicadas en una página denominada ""Acceso a información pública"".",,0,obligation
programaDeGestionDocumental,Programa de Gestión Documental,"Informaciones de Programa de Gestión Documental, publicadas en una página Gestión Documental e informar procedimientos y lineamientos para la producción, distribución, organización, consulta y conservación de los documentos públicos.",,0,obligation
tablasDeRetencionDocumental,Tablas De Retención Documental,AFAZER,A,20,obligation
informacionPublicadaAntesDeLaLey1712De2014,Información Publicada Antes De La Ley 1712 De 2014,AFAZER,,0,obligation
respuestasASolicitudesDeInformacionRecibidas,Respuestas A Solicitudes De Información Recibidas,AFAZER,,0,obligation
